userId,ts,action,addedItemsCount,interfaceId,productId,sessionId,taskId
Test1,2022-04-18T23:02:26.128Z,viewed,0,control,B075J2TL9N,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:26.130Z,viewed,0,control,B079QHNB3M,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:26.131Z,viewed,0,control,B01NH9HD8M,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:31.832Z,viewed,0,control,B07SDLMSD5,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:33.006Z,clicked,0,control,B08P4V83RJ,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:36.837Z,clicked-add,1,control,B08P4V83RJ,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:38.222Z,viewed-r,0,control,B075J2TL9N,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:38.472Z,viewed,0,control,B019MQT6T8,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:39.030Z,viewed-r,0,control,B079QHNB3M,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:39.881Z,clicked,1,control,B07SDLMSD5,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:41.763Z,clicked-add,2,control,B07SDLMSD5,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:42.811Z,viewed,0,control,B09MW1C3LW,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:42.916Z,viewed-r,0,control,B08P4V83RJ,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:42.992Z,viewed,0,control,B093P7WLX1,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:43.126Z,viewed-r,0,control,B01NH9HD8M,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:43.878Z,clicked,2,control,B019MQT6T8,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:45.674Z,clicked-r,2,control,B019MQT6T8,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:46.292Z,viewed,0,control,B09LLTH215,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:46.373Z,viewed-r,0,control,B07SDLMSD5,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:46.422Z,viewed,0,control,B073WTNRJ2,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:46.474Z,viewed-r,0,control,B019MQT6T8,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:47.210Z,viewed,0,control,B01G4WLQ2I,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:47.241Z,viewed-r,0,control,B09MW1C3LW,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:47.374Z,viewed,0,control,B09CYDT8GY,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:47.987Z,viewed-r,0,control,B093P7WLX1,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:48.023Z,viewed,0,control,B07K1G1GD3,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:48.072Z,viewed-r,0,control,B09LLTH215,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:48.155Z,viewed,0,control,B07YYXXJ5B,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:48.193Z,viewed-r,0,control,B073WTNRJ2,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:48.258Z,viewed,0,control,B073WTNRJ2,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:48.287Z,viewed-r,0,control,B073WTNRJ2,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:49.319Z,viewed,0,control,B09KL28CQT,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:49.440Z,viewed-r,0,control,B01G4WLQ2I,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:49.534Z,viewed,0,control,B0855FQ2L7,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:49.641Z,viewed-r,0,control,B09CYDT8GY,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:50.242Z,viewed,0,control,B0851F82H5,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:50.317Z,viewed-r,0,control,B07K1G1GD3,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:50.401Z,viewed,0,control,B083QYHHTB,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:50.618Z,viewed-r,0,control,B07YYXXJ5B,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:51.600Z,viewed,0,control,B07YYXXJ5B,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:51.651Z,viewed-r,0,control,B083QYHHTB,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:51.682Z,viewed,0,control,B07K1G1GD3,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:51.737Z,viewed-r,0,control,B0851F82H5,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:51.767Z,viewed,0,control,B09CYDT8GY,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:51.784Z,viewed-r,0,control,B0855FQ2L7,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:51.815Z,viewed,0,control,B01G4WLQ2I,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:51.834Z,viewed-r,0,control,B09KL28CQT,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:51.872Z,viewed,0,control,B073WTNRJ2,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:51.883Z,viewed-r,0,control,B07YYXXJ5B,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:51.916Z,viewed,0,control,B09LLTH215,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:51.952Z,viewed-r,0,control,B07K1G1GD3,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:52.182Z,viewed,0,control,B093P7WLX1,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:52.633Z,viewed-r,0,control,B09CYDT8GY,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:52.754Z,viewed,0,control,B09MW1C3LW,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:52.898Z,viewed-r,0,control,B01G4WLQ2I,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:54.646Z,viewed,0,control,B019MQT6T8,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:54.663Z,viewed-r,0,control,B073WTNRJ2,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:54.696Z,viewed,0,control,B07SDLMSD5,r87uk5Fc5neMcE9V,refrigerator
Test1,2022-04-18T23:02:54.746Z,viewed-r,0,control,B09LLTH215,r87uk5Fc5neMcE9V,refrigerator
